measure_date,form_id,water_usage,fertilizer_usage,heating_energy_usage,CO2_usage,mist_usage_time
2022-10-01,id1,1200,3632,0,0,186
2022-10-02,id1,90,288,0,0,0
2022-10-03,id1,440,1452,0,0,0
2022-10-04,id1,600,1802,0,0,0
2022-10-05,id1,1020,3064,18620,0,102
2022-10-06,id1,610,1850,0,0,55
2022-10-07,id1,1190,3676,29610,0,22
2022-10-08,id1,1680,5041,42870,0,22
2022-10-09,id1,560,1780,17340,0,0
2022-10-10,id1,1210,3760,31510,0,0
2022-10-11,id1,1700,5017,22750,0,28
2022-10-12,id1,1680,4873,28490,0,70
2022-10-13,id1,1690,4910,0,0,132
2022-10-14,id1,1310,3888,19730,0,52
2022-10-15,id1,1690,4975,25727,0,146
2022-10-16,id1,860,2683,0,0,11
2022-10-17,id1,1710,5030,27190,0,0
2022-10-18,id1,1650,4823,54115,0,0
2022-10-19,id1,1710,4996,85425,0,26
2022-10-20,id1,1710,5001,33840,0,140
2022-10-21,id1,1230,3752,23497,0,35
2022-10-22,id1,1570,4641,23510,0,167
2022-10-23,id1,1320,4083,0,0,35
2022-10-24,id1,1980,5789,51567,0,5
2022-10-25,id1,1940,5667,38570,0,48
2022-10-26,id1,1440,4136,40772,0,46
2022-10-27,id1,1500,4478,38042,0,135
2022-10-28,id1,960,2273,25840,0,79
2022-10-29,id1,1460,3468,34322,0,145
2022-10-30,id1,1360,3135,24482,0,133
2022-10-31,id1,1470,3513,42247,0,117
2022-11-01,id1,1090,2653,17167,0,13
2022-11-02,id1,1450,3402,39792,0,74
2022-11-03,id1,760,1880,35467,0,0
2022-11-04,id1,1000,2321,48682,0,0
2022-11-05,id1,1000,2368,67800,0,0
2022-11-06,id1,870,2125,71195,0,0
2022-11-07,id1,540,1331,46942,0,0
2022-11-08,id1,540,1311,39192,0,39
2022-11-09,id1,1230,2913,0,0,0
2022-11-10,id1,1140,2824,6887,0,34
2022-11-11,id1,1230,2963,47222,0,113
2022-11-12,id1,1010,2537,22055,0,35
2022-11-13,id1,490,1237,27375,0,0
2022-11-14,id1,510,1262,60205,0,0
2022-11-15,id1,1090,2712,36235,0,0
2022-11-16,id1,2090,5137,56945,0,0
2022-11-17,id1,2400,6069,63032,0,0
2022-11-18,id1,2370,5886,61445,0,0
2022-11-19,id1,2260,5483,37602,0,0
2022-11-20,id1,1620,4060,51925,0,0
2022-11-21,id1,2060,4982,56382,0,0
2022-11-22,id1,1440,4389,14085,0,0
2022-11-23,id1,2110,5121,52110,0,0
2022-11-24,id1,2080,5154,52555,0,0
2022-11-25,id1,1890,4623,29860,0,78
2022-11-26,id1,2060,5062,47080,0,0
2022-11-27,id1,2250,5393,56255,0,32
2022-11-28,id1,1460,3608,37960,0,0
2022-11-29,id1,1430,3511,72237,0,0
2022-11-30,id1,2050,4914,64607,0,0
2022-12-01,id1,2200,5354,74982,0,5
2022-12-02,id1,1650,3985,77900,0,5
2022-12-03,id1,350,868,74595,0,0
2022-12-04,id1,1280,3114,86885,0,0
2022-12-05,id1,1660,3950,104557,0,13
2022-12-06,id1,1170,2821,145002,0,0
2022-12-07,id1,1160,2829,142317,0,0
2022-12-08,id1,1660,4022,123635,0,85
2022-12-09,id1,1300,3158,120367,0,90
2022-10-01,id2,1200,3768,0,0,216
2022-10-02,id2,240,688,0,0,0
2022-10-03,id2,650,0,0,0,0
2022-10-04,id2,2570,5988,0,0,0
2022-10-05,id2,740,1108,0,0,92
2022-10-06,id2,330,673,29975,0,58
2022-10-07,id2,1780,1490,31682,0,8
2022-10-08,id2,1400,1582,18572,0,9
2022-10-09,id2,2820,4811,0,0,0
2022-10-10,id2,1120,3913,69600,0,0
2022-10-11,id2,2030,5665,58985,0,9
2022-10-12,id2,2020,3715,22675,0,41
2022-10-13,id2,2010,4026,0,0,75
2022-10-14,id2,1430,2246,36997,350,46
2022-10-15,id2,2150,3313,29552,125,179
2022-10-16,id2,1000,1493,0,0,12
2022-10-17,id2,2480,4100,55920,550,95
2022-10-18,id2,2450,2982,78172,0,86
2022-10-19,id2,2430,5569,63000,0,163
2022-10-20,id2,2300,7291,36842,0,207
2022-10-21,id2,2000,1622,22135,0,78
2022-10-22,id2,2230,5846,42687,0,154
2022-10-23,id2,1740,4552,47107,0,63
2022-10-24,id2,2220,5803,57260,0,12
2022-10-25,id2,2220,5783,47000,0,54
2022-10-26,id2,2100,5559,33467,0,108
2022-10-27,id2,2260,5989,51540,0,77
2022-10-28,id2,1990,5210,50650,0,39
2022-10-29,id2,2740,7197,27670,0,123
2022-10-30,id2,2370,6161,51577,0,117
2022-10-31,id2,2730,7189,44135,0,107
2022-11-01,id2,2010,5318,50740,0,9
2022-11-02,id2,2920,7646,32087,0,150
2022-11-03,id2,1470,3878,40047,0,0
2022-11-04,id2,2850,7543,47040,0,0
2022-11-05,id2,2850,7448,42810,0,8
2022-11-06,id2,2280,5966,48312,0,0
2022-11-07,id2,2280,5985,37540,0,0
2022-11-08,id2,2280,5966,65287,0,61
2022-11-09,id2,2470,6441,3235,0,0
2022-11-10,id2,2090,5510,0,0,48
2022-11-11,id2,2470,6517,23125,0,101
2022-11-12,id2,1520,3990,56420,0,28
2022-11-13,id2,760,2014,60870,0,0
2022-11-14,id2,1330,3515,96962,0,0
2022-11-15,id2,1330,3572,38227,0,0
2022-11-16,id2,2470,6498,44530,0,0
2022-11-17,id2,2470,6460,50355,0,1
2022-11-18,id2,2660,7030,16537,0,47
2022-11-19,id2,2530,6637,23582,0,40
2022-11-20,id2,1940,5067,59380,0,54
2022-11-21,id2,2340,6143,126240,0,33
2022-11-22,id2,1370,3659,5077,0,0
2022-11-23,id2,2320,5431,14205,0,1
2022-11-24,id2,2320,5471,27157,0,0
2022-11-25,id2,2130,4956,22640,25,3
2022-11-26,id2,2530,5897,21735,0,0
2022-11-27,id2,2720,6334,19437,0,9
2022-11-28,id2,990,2296,18187,0,0
2022-11-29,id2,970,2292,89730,50,0
2022-11-30,id2,2550,5943,159620,25,5
2022-12-01,id2,2740,6382,170207,0,7
2022-12-02,id2,2550,6000,99642,150,2
2022-12-03,id2,780,1834,154697,0,0
2022-12-04,id2,1560,3687,247760,25,0
2022-12-05,id2,2530,6072,172730,25,0
2022-12-06,id2,780,2028,222640,0,0
2022-12-07,id2,1410,3384,205547,0,0
2022-12-08,id2,2170,5267,190962,0,50
2022-12-09,id2,1770,4267,203015,0,0
2022-10-01,id3,1260,4293,0,0,212
2022-10-02,id3,80,312,0,0,0
2022-10-03,id3,450,1845,0,250,0
2022-10-04,id3,720,2520,0,3500,1
2022-10-05,id3,1040,3302,8560,1600,111
2022-10-06,id3,610,2046,3705,0,260
2022-10-07,id3,1150,3070,64235,100,321
2022-10-08,id3,1700,3897,16987,175,147
2022-10-09,id3,580,1302,50682,2925,161
2022-10-10,id3,1250,2750,85955,2225,371
2022-10-11,id3,1710,2571,47832,700,119
2022-10-12,id3,1720,2191,29912,500,203
2022-10-13,id3,1720,2279,0,0,158
2022-10-14,id3,1320,2681,26502,125,96
2022-10-15,id3,1690,3621,22917,700,290
2022-10-16,id3,870,1840,0,50,107
2022-10-17,id3,1730,3641,30992,900,533
2022-10-18,id3,1730,4045,83020,0,560
2022-10-19,id3,1740,4230,76392,0,565
2022-10-20,id3,1710,4305,38785,0,503
2022-10-21,id3,1250,3296,25805,0,133
2022-10-22,id3,1610,4523,15322,0,471
2022-10-23,id3,1300,3706,47962,0,567
2022-10-24,id3,1570,4383,52082,0,283
2022-10-25,id3,1600,4676,53222,0,206
2022-10-26,id3,1510,4313,30007,0,703
2022-10-27,id3,1520,4308,56675,0,282
2022-10-28,id3,970,3221,58222,0,141
2022-10-29,id3,1500,4182,47927,0,485
2022-10-30,id3,1390,4334,35032,0,517
2022-10-31,id3,1520,4494,14075,0,384
2022-11-01,id3,1130,3572,38870,0,249
2022-11-02,id3,1510,4438,53360,0,485
2022-11-03,id3,970,3202,60245,0,239
2022-11-04,id3,1520,4674,70590,0,283
2022-11-05,id3,1520,4322,67560,0,234
2022-11-06,id3,1390,4434,82830,0,563
2022-11-07,id3,1130,3398,70182,0,661
2022-11-08,id3,1130,3693,36457,0,150
2022-11-09,id3,1390,3896,11487,0,243
2022-11-10,id3,1260,4109,11565,0,267
2022-11-11,id3,1390,4044,26705,0,539
2022-11-12,id3,1100,3419,16600,0,643
2022-11-13,id3,600,1979,46900,0,424
2022-11-14,id3,600,1914,65052,0,546
2022-11-15,id3,870,3034,21835,0,509
2022-11-16,id3,1330,4458,15050,0,618
2022-11-17,id3,1630,4789,34512,0,228
2022-11-18,id3,1630,4513,16340,0,636
2022-11-19,id3,1620,4333,36260,0,697
2022-11-20,id3,1030,2850,47677,0,396
2022-11-21,id3,1480,3949,21612,0,239
2022-11-22,id3,940,2416,15417,0,200
2022-11-23,id3,1420,3562,5857,0,235
2022-11-24,id3,1200,3269,19575,0,215
2022-11-25,id3,1400,3356,15637,50,253
2022-11-26,id3,1410,3390,31300,0,189
2022-11-27,id3,1560,3888,23770,0,212
2022-11-28,id3,770,2073,11062,0,260
2022-11-29,id3,770,2137,80477,0,258
2022-11-30,id3,1570,3922,103125,150,107
2022-12-01,id3,1570,3851,117715,25,230
2022-12-02,id3,1570,3756,133507,125,320
2022-12-03,id3,770,1935,196787,0,386
2022-12-04,id3,1090,2581,248360,75,395
2022-12-05,id3,1410,3323,132070,125,254
2022-12-06,id3,770,1771,146180,300,224
2022-12-07,id3,1130,3100,165125,75,185
2022-12-08,id3,1490,4295,107575,50,213
2022-12-09,id3,1150,3301,73025,25,346
2022-10-01,id4,1120,3760,0,0,208
2022-10-02,id4,80,288,0,0,0
2022-10-03,id4,400,1560,0,0,0
2022-10-04,id4,480,1816,0,0,0
2022-10-05,id4,960,3272,6017,0,24
2022-10-06,id4,560,1880,0,0,17
2022-10-07,id4,1160,3292,27495,0,5
2022-10-08,id4,1640,4340,20017,0,13
2022-10-09,id4,580,1482,28462,3200,0
2022-10-10,id4,1180,3160,58465,2325,56
2022-10-11,id4,1640,4200,32400,0,61
2022-10-12,id4,1640,4596,27770,0,49
2022-10-13,id4,2640,4395,3460,0,39
2022-10-14,id4,2080,3298,20570,1250,67
2022-10-15,id4,2740,3958,16200,6600,163
2022-10-16,id4,1450,2162,14737,475,26
2022-10-17,id4,3060,4904,59307,7250,213
2022-10-18,id4,2900,4798,75165,0,193
2022-10-19,id4,2650,6186,46625,0,169
2022-10-20,id4,2380,6928,36372,0,213
2022-10-21,id4,1750,5689,4462,0,17
2022-10-22,id4,2500,8126,21402,0,64
2022-10-23,id4,2240,6486,27640,0,66
2022-10-24,id4,4560,8753,59007,0,32
2022-10-25,id4,2150,3336,26950,0,33
2022-10-26,id4,2430,5013,22037,0,59
2022-10-27,id4,2020,3551,23290,0,9
2022-10-28,id4,1700,3362,27817,0,0
2022-10-29,id4,1730,2922,14992,0,0
2022-10-30,id4,1730,3194,14770,0,1
2022-10-31,id4,2150,4228,24005,0,0
2022-11-01,id4,1150,175,10632,0,0
2022-11-02,id4,2130,4261,29172,0,25
2022-11-03,id4,1150,2112,12297,0,0
2022-11-04,id4,2560,4205,37697,0,8
2022-11-05,id4,2360,3594,22190,0,17
2022-11-06,id4,1970,3109,24087,0,11
2022-11-07,id4,1820,2834,36670,0,2
2022-11-08,id4,1690,2912,39390,0,0
2022-11-09,id4,1820,3627,0,0,0
2022-11-10,id4,1690,4576,2562,0,0
2022-11-11,id4,2080,5447,40467,0,4
2022-11-12,id4,1300,3380,24315,0,0
2022-11-13,id4,520,1430,46250,0,0
2022-11-14,id4,1170,3315,62395,0,0
2022-11-15,id4,780,2249,82440,0,0
2022-11-16,id4,1950,5655,57222,0,0
2022-11-17,id4,1950,4550,17887,0,0
2022-11-18,id4,2080,4706,30355,0,0
2022-11-19,id4,1950,4290,7955,0,0
2022-11-20,id4,1170,2509,41137,0,0
2022-11-21,id4,1690,3809,140252,0,0
2022-11-22,id4,780,1742,6712,0,0
2022-11-23,id4,1820,4849,11042,0,0
2022-11-24,id4,1820,4927,29820,0,0
2022-11-25,id4,1690,4277,13567,0,3
2022-11-26,id4,1690,4654,12325,0,9
2022-11-27,id4,1820,4641,7957,0,10
2022-11-28,id4,650,1508,18062,0,4
2022-11-29,id4,520,1300,25600,0,0
2022-11-30,id4,1690,4602,38452,0,55
2022-12-01,id4,1690,4420,67230,0,26
2022-12-02,id4,1690,5031,74752,0,15
2022-12-03,id4,390,1118,97342,0,4
2022-12-04,id4,910,2691,71592,0,3
2022-12-05,id4,1690,4966,102010,0,14
2022-12-06,id4,650,1976,114815,0,14
2022-12-07,id4,1040,3029,89470,0,2
2022-12-08,id4,1950,5226,74880,0,3
2022-12-09,id4,920,2121,53230,0,3
